PROTOCOL,TYPE,NETWORK,MASK,DISTANCE,METRIC,NEXTHOP_IP,NEXTHOP_IF,UPTIME
O,,172.16.101.0,24,110,41,172.16.252.13,GigabitEthernet5,06:55:26
O,,172.16.101.0,24,110,41,172.16.252.5,GigabitEthernet4,06:55:24
O,,172.16.102.0,24,110,41,172.16.252.13,GigabitEthernet5,06:55:26
O,,172.16.102.0,24,110,41,172.16.252.5,GigabitEthernet4,06:55:24
O,,172.16.103.0,24,110,41,172.16.252.13,GigabitEthernet5,06:55:26
O,,172.16.103.0,24,110,41,172.16.252.5,GigabitEthernet4,06:55:24
O,,172.16.104.0,24,110,41,172.16.252.13,GigabitEthernet5,06:55:26
O,,172.16.104.0,24,110,41,172.16.252.5,GigabitEthernet4,06:55:24
O,,172.16.105.0,24,110,41,172.16.252.13,GigabitEthernet5,06:55:26
O,,172.16.105.0,24,110,41,172.16.252.5,GigabitEthernet4,06:55:24
O,,172.16.252.0,30,110,2,172.16.252.17,GigabitEthernet6,06:54:12
C,,172.16.252.4,30,,,,GigabitEthernet4,
L,,172.16.252.6,32,,,,GigabitEthernet4,
O,,172.16.252.8,30,110,2,172.16.252.17,GigabitEthernet6,06:54:12
C,,172.16.252.12,30,,,,GigabitEthernet5,
L,,172.16.252.14,32,,,,GigabitEthernet5,
C,,172.16.252.16,30,,,,GigabitEthernet6,
L,,172.16.252.18,32,,,,GigabitEthernet6,
O,,172.16.252.20,30,110,2,172.16.252.30,GigabitEthernet2,06:56:13
O,,172.16.252.20,30,110,2,172.16.252.17,GigabitEthernet6,06:54:12
O,,172.16.252.24,30,110,2,172.16.252.34,GigabitEthernet3,06:56:13
O,,172.16.252.24,30,110,2,172.16.252.17,GigabitEthernet6,06:54:12
C,,172.16.252.28,30,,,,GigabitEthernet2,
L,,172.16.252.29,32,,,,GigabitEthernet2,
C,,172.16.252.32,30,,,,GigabitEthernet3,
L,,172.16.252.33,32,,,,GigabitEthernet3,
O,,172.16.252.36,30,110,2,172.16.252.34,GigabitEthernet3,06:56:13
O,,172.16.252.36,30,110,2,172.16.252.30,GigabitEthernet2,06:56:13
O,,172.16.253.0,29,110,2,172.16.252.34,GigabitEthernet3,06:56:13
O,,172.16.253.0,29,110,2,172.16.252.30,GigabitEthernet2,06:56:13
O,E2,172.31.0.0,16,110,20,172.16.252.34,GigabitEthernet3,06:56:13
O,E2,172.31.0.0,16,110,20,172.16.252.30,GigabitEthernet2,06:56:13
